t, a, b, c, d, e, f
2.2700e-02, 7, 15, 8, -2, 37, 3
2.2750e-02, 7, 15, 10, -2, 35, 4
2.2800e-02, 7, 15, 10, -2, 35, 4
2.2850e-02, 9, 16, 9, -3, 35, -2
2.2900e-02, 9, 16, 9, -3, 35, -2
2.2950e-02, 12, 17, 9, -5, 32, -5
2.3000e-02, 12, 17, 9, -5, 32, -5
2.3050e-02, 15, 17, 11, -6, 30, -9
2.3100e-02, 15, 17, 11, -6, 30, -9
2.3150e-02, 16, 17, 8, -8, 30, -10
2.3200e-02, 16, 17, 8, -8, 30, -10
2.3250e-02, 20, 14, 10, -9, 26, -12
2.3300e-02, 20, 14, 10, -9, 26, -12
2.3350e-02, 22, 14, 14, -11, 25, -14
2.3400e-02, 22, 14, 14, -11, 25, -14
2.3450e-02, 23, 14, 12, -12, 24, -16
2.3500e-02, 23, 14, 12, -12, 24, -16
2.3550e-02, 22, 13, 12, -14, 22, -18
2.3600e-02, 22, 13, 12, -14, 22, -18
2.3650e-02, 24, 14, 11, -15, 18, -18
2.3700e-02, 24, 14, 11, -15, 18, -18
2.3750e-02, 24, 11, 12, -16, 16, -20
2.3800e-02, 24, 11, 12, -16, 16, -20
2.3850e-02, 26, 13, 13, -18, 17, -22
2.3900e-02, 26, 13, 13, -18, 17, -22
2.3950e-02, 26, 13, 14, -18, 15, -23
2.4000e-02, 26, 13, 14, -18, 15, -23
2.4050e-02, 27, 14, 14, -19, 13, -23
2.4100e-02, 27, 14, 14, -19, 13, -23
2.4150e-02, 27, 16, 13, -20, 13, -28
2.4200e-02, 27, 16, 13, -20, 13, -28
2.4250e-02, 26, 14, 10, -21, 9, -30
2.4300e-02, 26, 14, 10, -21, 9, -30
2.4350e-02, 23, 15, 12, -23, 8, -33
2.4400e-02, 23, 15, 12, -23, 8, -33
2.4450e-02, 23, 15, 12, -22, 6, -35
2.4500e-02, 23, 15, 12, -22, 6, -35
2.4550e-02, 25, 16, 10, -23, 2, -42
2.4600e-02, 25, 16, 10, -23, 2, -42
2.4650e-02, 23, 18, 11, -23, 0, -42
2.4700e-02, 23, 18, 11, -23, 0, -42
2.4750e-02, 23, 15, 9, -24, -1, -44
2.4800e-02, 23, 15, 9, -24, -1, -44
2.4850e-02, 21, 15, 8, -25, -4, -49
2.4900e-02, 21, 15, 8, -25, -4, -49
2.4950e-02, 20, 14, 8, -25, -6, -51
2.5000e-02, 20, 14, 8, -25, -6, -51
2.5050e-02, 19, 13, 8, -24, -10, -55
2.5100e-02, 19, 13, 8, -24, -10, -55
2.5150e-02, 17, 12, 6, -24, -11, -54
2.5200e-02, 17, 12, 6, -24, -11, -54
2.5250e-02, 17, 12, 5, -22, -13, -56
2.5300e-02, 17, 12, 5, -22, -13, -56
2.5350e-02, 19, 10, 6, -22, -18, -58
2.5400e-02, 19, 10, 6, -22, -18, -58
2.5450e-02, 15, 10, 5, -22, -19, -58
2.5500e-02, 15, 10, 5, -22, -19, -58
2.5550e-02, 13, 10, 2, -19, -22, -58
2.5600e-02, 13, 10, 2, -19, -22, -58
2.5650e-02, 12, 6, 1, -20, -22, -57
2.5700e-02, 12, 6, 1, -20, -22, -57
2.5750e-02, 13, 6, 0, -17, -25, -57
2.5800e-02, 13, 6, 0, -17, -25, -57
2.5850e-02, 14, 5, -1, -16, -25, -56
2.5900e-02, 14, 5, -1, -16, -25, -56
2.5950e-02, 11, 0, 1, -14, -29, -55
2.6000e-02, 11, 0, 1, -14, -29, -55
2.6050e-02, 12, -1, -2, -10, -28, -54
2.6100e-02, 12, -1, -2, -10, -28, -54
2.6150e-02, 11, -5, -3, -10, -30, -52
2.6200e-02, 11, -5, -3, -10, -30, -52
2.6250e-02, 8, -7, -5, -6, -31, -50
2.6300e-02, 8, -7, -5, -6, -31, -50
2.6350e-02, 12, -9, -3, -5, -31, -50
2.6400e-02, 12, -9, -3, -5, -31, -50
2.6450e-02, 16, -10, -4, -1, -32, -49
2.6500e-02, 16, -10, -4, -1, -32, -49
2.6550e-02, 12, -10, -2, 0, -31, -47
2.6600e-02, 12, -10, -2, 0, -31, -47
2.6650e-02, 14, -12, -5, 3, -31, -45
2.6700e-02, 14, -12, -5, 3, -31, -45
